name,slug,whatsapp,,web,facebook,instagram,youtube,twitter,address,postal_code,phone,latitude,longitude,summary,place_group,workout_card,additional_classes,express_booking,mark_booking_assistance
3DFYT,3dfyt,980482069,,,https://www.facebook.com/profile.php?id=61586840141571,https://www.instagram.com/3dfyt_center/,,,"Jr. Maria Elena Moyano 174. Surquillo, Lima",15038,980482069,-12.11836128,-76.9976303,Centro Boutique de Entrenamiento Funcional y Fisioterapia Deportiva,3dfyt,False,False,False,False
3DFYT - Rehabilitación,3dfytr,980482069,,,https://www.facebook.com/profile.php?id=61586840141571,https://www.instagram.com/3dfyt_center/,,,"Jr. Maria Elena Moyano 174. Surquillo, Lima",15038,980482069,-12.11836128,-76.9976303,Centro Boutique de Entrenamiento Funcional y Fisioterapia Deportiva,3dfyt,False,False,False,False
